book	chapter	verse	triggers	text
Ecclesiastes	3	16		Moreover I saw under the sun, in the place of justice, that wickedness was there; and in the place of righteousness, that wickedness was there.
Ecclesiastes	3	17		"I said in my heart, ""Elohim will judge the righteous and the wicked; for there is a time there for every purpose and for every work."""
Ecclesiastes	3	18	human	"I said in my heart, ""As for the human beings, Elohim tests them, so that they may see that they themselves are like animals."
Ecclesiastes	3	19	human,person	For that which happens to the human beings happens to animals. Even one thing happens to them. As the one dies, so the other dies. Yes, they have all one breath; and a person has no advantage over the animals: for all is vanity.
Ecclesiastes	3	20		All go to one place. All are from the dust, and all turn to dust again.
Ecclesiastes	3	21	human	"Who knows the human spirit, whether it goes upward, and the spirit of the animal, whether it goes downward to the earth?"""
Ecclesiastes	3	22	person	Therefore I saw that there is nothing better, than that a person should rejoice in their works; for that is their portion: for who can bring them to see what will be after them?
Ecclesiastes	4	1		Then I returned and saw all the oppressions that are done under the sun: and behold, the tears of those who were oppressed, and they had no comforter; and on the side of their oppressors there was power; but they had no comforter.
Ecclesiastes	4	2		Therefore I praised the dead who have been long dead more than the living who are yet alive.
Ecclesiastes	4	3		Yes, better than them both is the one who has not yet been, who has not seen the work of brokenness that is done under the sun.
Ecclesiastes	4	4	person	Then I saw all the labor and achievement that is the envy of a person's neighbor. This also is vanity and a striving after wind.
Ecclesiastes	4	5		The fool folds their hands together and ruins themselves.
Ecclesiastes	4	6		Better is a handful, with quietness, than two handfuls with labor and chasing after wind.
Ecclesiastes	4	7		Then I returned and saw vanity under the sun.
Ecclesiastes	4	8	brother,his,son	There is one who is alone, and they have neither son nor brother. There is no end to all of his labor, neither are his eyes satisfied with wealth. For whom then, do I labor, and deprive my soul of enjoyment? This also is vanity, yes, it is a miserable business.
Ecclesiastes	4	9		Two are better than one, because they have a good reward for their labor.
Ecclesiastes	4	10	his	For if they fall, the one will lift up his fellow; but woe to the one who is alone when they fall, and doesn't have another to lift them up.
Ecclesiastes	4	11		Again, if two lie together, then they have warmth; but how can one keep warm alone?
Ecclesiastes	4	12	someone	If someone prevails against one who is alone, two shall withstand them; and a threefold cord is not quickly broken.
Ecclesiastes	4	13	king	Better is a poor and wise youth than an old and foolish king who doesn't know how to receive admonition any more.
Ecclesiastes	4	14	he,his,king	For out of prison he came forth to be king; yes, even in his kingdom he was born poor.
Ecclesiastes	4	15	him	I saw all the living who walk under the sun, that they were with the youth, the other, who succeeded him.
Ecclesiastes	4	16	he,him,people	There was no end of all the people, even of all them over whom he was--yet those who come after shall not rejoice in him. Surely this also is vanity and a chasing after wind.
Ecclesiastes	5	1		Guard your steps when you go to Elohim's house; for to draw near to listen is better than to give the sacrifice of fools, for they don't know that they do brokenness.
Ecclesiastes	5	2		Don't be rash with your mouth, and don't let your heart be hasty to utter anything before Elohim; for Elohim is in heavens, and you on earth. Therefore let your words be few.
Ecclesiastes	5	3		For as a dream comes with a multitude of cares, so a fool's speech with a multitude of words.
Ecclesiastes	5	4		When you vow a vow to Elohim, don't defer to pay it; for Elohim has no pleasure in fools. Pay that which you vow.
Ecclesiastes	5	5		It is better that you should not vow, than that you should vow and not pay.
Ecclesiastes	5	6		Don't allow your mouth to lead you into sin. Don't protest before the messenger that this was a mistake. Why should Elohim be angry at your voice, and destroy the work of your hands?
Ecclesiastes	5	7		For in the multitude of dreams there are vanities, as well as in many words: but you must revere Elohim.
Ecclesiastes	5	8		If you see the oppression of the poor, and the violent taking away of justice and righteousness in a district, don't marvel at the matter: for one official is eyed by a higher one; and there are officials over them.
Ecclesiastes	5	9	king	Moreover the profit of the earth is for all. The king profits from the field.
Ecclesiastes	5	10		The one who loves silver shall not be satisfied with silver; nor the one who loves abundance, with increase: this also is vanity.
Ecclesiastes	5	11	his	When goods increase, those who eat them are increased; and what advantage is there to its owner, except to feast on them with his eyes?
Ecclesiastes	5	12	person	The sleep of a laboring person is sweet, whether they eat little or much; but the abundance of the rich will not allow them to sleep.
Ecclesiastes	5	13	his	There is a grievous brokenness which I have seen under the sun: wealth kept by its owner to his harm.
Ecclesiastes	5	14	he,his,son	Those riches perish by misfortune, and if he has fathered a son, there is nothing in his hand.
Ecclesiastes	5	15	he,his	As he came forth from his mother's womb, naked shall they go again as they came, and shall take nothing for their labor, which they may carry away in their hand.
Ecclesiastes	5	16		This also is a grievous brokenness, that in all points as they came, so shall they go. And what profit do they have who labor for the wind?
Ecclesiastes	5	17		All their days they also eat in darkness, they are frustrated, and have sickness and wrath.
Ecclesiastes	5	18		Behold, that which I have seen to be good and proper is for one to eat and to drink, and to enjoy good in all their labor, in which they labor under the sun, all the days of their life which Elohim has given them; for this is their portion.
Ecclesiastes	5	19		Everyone also to whom Elohim has given riches and wealth, and has given them power to eat of it, and to take their portion, and to rejoice in their labor--this is the gift of Elohim.
Ecclesiastes	5	20		For they shall not often reflect on the days of their life; because Elohim occupies them with the joy of their heart.
Ecclesiastes	6	1	men	There is a brokenness which I have seen under the sun, and it is heavy on men:
Ecclesiastes	6	2	person	a person to whom Elohim gives riches, wealth, and honor, so that they lack nothing for their soul of all that they desire, yet Elohim gives them no power to eat of it, but an alien eats it. This is vanity, and it is a grievous disease.
Ecclesiastes	6	3	he,someone	If someone fathers a hundred children, and lives many years, so that the days of their years are many, but their soul is not filled with good, and moreover they have no burial; I say, that an untimely birth is better than he:
Ecclesiastes	6	4		for it comes in vanity, and departs in darkness, and its name is covered with darkness.
Ecclesiastes	6	5		Moreover it has not seen the sun nor known it. This has rest rather than the other.
Ecclesiastes	6	6	he	Yes, though he live a thousand years twice told, and yet fails to enjoy good, don't all go to one place?
Ecclesiastes	6	7	person	All the labor of a person is for their mouth, and yet the appetite is not filled.
Ecclesiastes	6	8	person	For what advantage has the wise more than the fool? What does the poor person have, who knows how to walk before the living?
Ecclesiastes	6	9		Better is the sight of the eyes than the wandering of the desire. This also is vanity and a chasing after wind.
Ecclesiastes	6	10	person	Whatever has been, its name was given long ago; and it is known what a person is; neither can they contend with the one who is mightier than they.
Ecclesiastes	6	11	person	For there are many words that create vanity. What does that profit a person?
Ecclesiastes	6	12	person	For who knows what is good for a person in life, all the days of their vain life which they spend like a shadow? For who can tell a person what will be after them under the sun?
Ecclesiastes	7	1		A good name is better than fine perfume; and the day of death better than the day of one's birth.
Ecclesiastes	7	2	people	It is better to go to the house of mourning than to go to the house of feasting: for that is the end of all people, and the living should take this to heart.
Ecclesiastes	7	3		Sorrow is better than laughter; for by the sadness of the face the heart is made good.
Ecclesiastes	7	4		The heart of the wise is in the house of mourning; but the heart of fools is in the house of mirth.
Ecclesiastes	7	5	person	It is better to hear the rebuke of the wise, than for a person to hear the song of fools.
Ecclesiastes	7	6		For as the crackling of thorns under a pot, so is the laughter of the fool. This also is vanity.
Ecclesiastes	7	7	person	Surely extortion makes the wise person foolish; and a bribe destroys the understanding.
Ecclesiastes	7	8		Better is the end of a thing than its beginning. The patient in spirit is better than the proud in spirit.
Ecclesiastes	7	9		Don't be hasty in your spirit to be angry, for anger rests in the bosom of fools.
Ecclesiastes	7	10		"Don't say, ""Why were the former days better than these?"" For you do not ask wisely about this."
Ecclesiastes	7	11		Wisdom is as good as an inheritance. Yes, it is more excellent for those who see the sun.
Ecclesiastes	7	12		For wisdom is a defense, even as money is a defense; but the excellency of knowledge is that wisdom preserves the life of the one who has it.
Ecclesiastes	7	13		Consider the work of Elohim, for who can make that straight, which Elohim has made crooked?
Ecclesiastes	7	14	person	In the day of prosperity be joyful, and in the day of adversity consider; yes, Elohim has made the one side by side with the other, to the end that a person should not find out anything after them.
Ecclesiastes	7	15	person	All this have I seen in my days of vanity: there is a righteous person who perishes in their righteousness, and there is a broken person who lives long in their brokenness-doing.
Ecclesiastes	7	16		Don't be overly righteous, neither make yourself overly wise. Why should you destroy yourself?
Ecclesiastes	7	17		Don't be too wicked, neither be foolish. Why should you die before your time?
Ecclesiastes	7	18		It is good that you should take hold of this. Yes, also from that don't withdraw your hand; for the one who reveres Elohim will come forth from them all.
Ecclesiastes	7	19	person	Wisdom is a strength to the wise person more than ten rulers who are in a city.
Ecclesiastes	7	20	person	Surely there is not a righteous person on earth, who does good and doesn't sin.
Ecclesiastes	7	21		Also don't take heed to all words that are spoken, lest you hear your servant curse you;
Ecclesiastes	7	22		for often your own heart knows that you yourself have likewise cursed others.
Ecclesiastes	7	23		"All this have I proved in wisdom. I said, ""I will be wise;"" but it was far from me."
Ecclesiastes	7	24		That which is, is far off and exceedingly deep. Who can find it out?
Ecclesiastes	7	25		I turned around, and my heart sought to know and to search out, and to seek wisdom and the scheme of things, and to know that wickedness is stupidity, and that foolishness is madness.
Ecclesiastes	7	26		I find more bitter than death the woman whose heart is snares and traps, whose hands are chains. Whoever pleases Elohim shall escape from her; but the sinner will be ensnared by her.
Ecclesiastes	7	27		Behold, this have I found, says the Preacher, one to another, to find out the scheme;
Ecclesiastes	7	28	man	which my soul still seeks; but I have not found: one man among a thousand have I found; but a woman among all those have I not found.
Ecclesiastes	7	29	humanity,people	Behold, this only have I found: that Elohim made humanity upright; but people search for many schemes.
Ecclesiastes	8	1	person	Who is like the wise person? And who knows the interpretation of a thing? A person's wisdom makes their face shine, and the hardness of their face is changed.
Ecclesiastes	8	2	king	"I say, ""Keep the king's command!"" because of the oath to Elohim."
Ecclesiastes	8	3	he,him,his	Don't be hasty to go out of his presence. Don't persist in a broken thing, for he does whatever pleases him,
Ecclesiastes	8	4	him,king	"for the king's word is supreme. Who can say to him, ""What are you doing?"""
Ecclesiastes	8	5		Whoever keeps the commandment shall not come to harm, and their wise heart will know the time and procedure.
Ecclesiastes	8	6	him,person	For there is a time and procedure for every purpose, although the misery of a person is heavy on him.
Ecclesiastes	8	7	he,him	For he doesn't know that which will be; for who can tell him how it will be?
Ecclesiastes	8	8		There is no one who has power over the spirit to contain the spirit; neither do they have power over the day of death. There is no discharge in war; neither shall wickedness deliver those who practice it.
Ecclesiastes	8	9	person	All this have I seen, and applied my mind to every work that is done under the sun. There is a time in which one a person has power over another to their hurt.
Ecclesiastes	8	10		So I saw the wicked buried. Indeed they came also from holiness. They went and were forgotten in the city where they did this. This also is vanity.
Ecclesiastes	8	11	human	Because sentence against a work of brokenness is not executed speedily, therefore the heart of the human beings is fully set in them to do brokenness.
Ecclesiastes	8	12		Though a sinner commits crimes a hundred times, and lives long, yet surely I know that it will be better with those who revere Elohim, who are reverent before Elohim.
Ecclesiastes	8	13	he	But it shall not be well with the wicked, neither shall he lengthen days like a shadow; because he doesn't revere Elohim.
Ecclesiastes	8	14	men	There is a vanity which is done on the earth, that there are righteous men to whom it happens according to the work of the wicked. Again, there are wicked men to whom it happens according to the work of the righteous. I said that this also is vanity.
Ecclesiastes	8	15	person	Then I commended mirth, because a person has no better thing under the sun, than to eat, and to drink, and to be joyful: for that will accompany them in their labor all the days of their life which Elohim has given them under the sun.
Ecclesiastes	8	16	his	When I applied my heart to know wisdom, and to see the business that is done on the earth (for also there is that neither day nor night sees sleep with his eyes),
Ecclesiastes	8	17	person	then I saw all the work of Elohim, that a person can't find out the work that is done under the sun, because however much a person labors to seek it out, yet they won't find it. Yes even though a wise person thinks they can comprehend it, they won't be able to find it.
Ecclesiastes	9	1	person	For all this I laid to my heart, even to explore all this: that the righteous, and the wise, and their works, are in the hand of Elohim; whether it is love or hatred, a person doesn't know it; all is before them.
Ecclesiastes	9	2		All things come alike to all. There is one event to the righteous and to the wicked; to the good, to the clean, to the unclean, to the one who sacrifices, and to the one who doesn't sacrifice. As is the good, so is the sinner; the one who takes an oath, as the one who fears an oath.
Ecclesiastes	9	3	human	This is a brokenness in all that is done under the sun, that there is one event to all: yes also, the heart of the human beings is full of brokenness, and madness is in their heart while they live, and after that they go to the dead.
Ecclesiastes	9	4		For to the one who is joined with all the living there is hope; for a living dog is better than a dead lion.
Ecclesiastes	9	5		For the living know that they will die, but the dead don't know anything, neither do they have any more a reward; for the memory of them is forgotten.
Ecclesiastes	9	6		Also their love, their hatred, and their envy has perished long ago; neither have they any more a portion forever in anything that is done under the sun.
Ecclesiastes	9	7		Go your way--eat your bread with joy, and drink your wine with a merry heart; for Elohim has already accepted your works.
Ecclesiastes	9	8		Let your garments be always white, and don't let your head lack oil.
Ecclesiastes	9	9	he	Live joyfully with the wife whom you love all the days of your life of vanity, which he has given you under the sun, all your days of vanity: for that is your portion in life, and in your labor in which you labor under the sun.
Ecclesiastes	9	10		Whatever your hand finds to do, do it with your might; for there is no work, nor device, nor knowledge, nor wisdom, in Sheol, where you are going.
Ecclesiastes	9	11	people	I returned, and saw under the sun, that the race is not to the swift, nor the battle to the strong, neither yet bread to the wise, nor yet riches to people of understanding, nor yet favor to people of skill; but time and chance happen to them all.
Ecclesiastes	9	12	human,person	For a person also doesn't know their time. As the fish that are taken in a brokenness net, and as the birds that are caught in the snare, even so are the human beings snared in a time of trouble, when it falls suddenly on them.
Ecclesiastes	9	13		I have also seen wisdom under the sun in this way, and it seemed great to me.
Ecclesiastes	9	14	king,men	There was a little city, and few men within it; and a great king came against it, besieged it, and built great bulwarks against it.
Ecclesiastes	9	15	person	Now a poor wise person was found in it, and they by their wisdom delivered the city; yet no one remembered that same poor person.
Ecclesiastes	9	16	person	Then said I, Wisdom is better than strength. Nevertheless the poor person's wisdom is despised, and their words are not heard.
Ecclesiastes	9	17		The words of the wise heard in quiet are better than the cry of the one who rules among fools.
Ecclesiastes	9	18		Wisdom is better than weapons of war; but one sinner destroys much good.
Ecclesiastes	10	1		Dead flies cause the oil of the perfumer to send forth a brokenness odor; so does a little folly outweigh wisdom and honor.
Ecclesiastes	10	2	person	A wise person's heart is at their right hand, but a fool's heart at their left.
Ecclesiastes	10	3		Yes also, when the fool walks by the way, their understanding fails them, and they say to everyone that they are a fool.
Ecclesiastes	10	4		If the spirit of the ruler rises up against you, don't leave your place; for gentleness lays great offenses to rest.
Ecclesiastes	10	5		There is a brokenness which I have seen under the sun, the sort of error which proceeds from the ruler.
Ecclesiastes	10	6		Folly is set in great dignity, and the rich sit in a low place.
Ecclesiastes	10	7		I have seen servants on horses, and princes walking like servants on the earth.
Ecclesiastes	10	8		The one who digs a pit may fall into it; and whoever breaks through a wall may be bitten by a snake.
Ecclesiastes	10	9		Whoever carves out stones may be injured by them. Whoever splits wood may be endangered thereby.
Ecclesiastes	10	10	he	If the axe is blunt, and one doesn't sharpen the edge, then he must use more strength; but skill brings success.
Ecclesiastes	10	11		If the snake bites before it is charmed, then is there no profit for the charmer's tongue.
