reference	text
Matthew 13:9	"The one who has ears to hear, let them hear."""
Matthew 13:10	"The disciples came, and said to him, ""Why do you speak to them in parables?"""
Matthew 13:11	"He answered them, ""To you it is given to know the mysteries of the reign of the heavens, but it is not given to them."
Matthew 13:12	For whoever has, to them will be given, and they will have abundance, but whoever doesn't have, from them will be taken away even that which they have.
Matthew 13:13	Therefore I speak to them in parables, because seeing they don't see, and hearing, they don't hear, neither do they understand.
Matthew 13:14	In them the prophecy of Yeshayahu is fulfilled, which says, 'By hearing you will hear, and will in no way understand; Seeing you will see, and will in no way perceive:
Matthew 13:15	for this people's heart has grown callous, their ears are dull of hearing, they have closed their eyes; or else perhaps they might perceive with their eyes, hear with their ears, understand with their heart, and should turn again; and I would heal them.'
Matthew 13:16	"""But blessed are your eyes, for they see; and your ears, for they hear."
Matthew 13:17	For most certainly I tell you that many prophets and righteous people desired to see the things which you see, and didn't see them; and to hear the things which you hear, and didn't hear them.
Matthew 13:18	"""Hear, then, the parable of the farmer."
Matthew 13:19	When anyone hears the word of the reign, and doesn't understand it, the unripe one comes, and snatches away that which has been sown in their heart. This is what was sown by the roadside.
Matthew 13:20	What was sown on the rocky places, this is the one who hears the word, and immediately with joy receives it;
Matthew 13:21	yet they have no root in themselves, but endure for a while. When oppression or persecution arises because of the word, immediately they stumble.
Matthew 13:22	What was sown among the thorns, this is the one who hears the word, but the cares of this age and the deceitfulness of riches choke the word, and they become unfruitful.
Matthew 13:23	"What was sown on the good ground, this is the one who hears the word, and understands it, who most certainly bears fruit, and brings forth, some one hundred times as much, some sixty, and some thirty."""
Matthew 13:24	"He set another parable before them, saying, ""The reign of the heavens is like a person who sowed good seed in their field,"
Matthew 13:25	but while people slept, his enemy came and sowed darnel weeds also among the wheat, and went away.
Matthew 13:26	But when the blade sprang up and brought forth fruit, then the darnel weeds appeared also.
Matthew 13:27	The servants of the householder came and said to him, 'Sir, didn't you sow good seed in your field? Where did this darnel come from?'
Matthew 13:28	"""He said to them, 'An enemy has done this.' ""The servants asked him, 'Do you want us to go and gather them up?'"
Matthew 13:29	"""But he said, 'No, lest perhaps while you gather up the darnel weeds, you root up the wheat with them."
Matthew 13:30	"Let both grow together until the harvest, and in the harvest time I will tell the reapers, ""First, gather up the darnel weeds, and bind them in bundles to burn them; but gather the wheat into my barn.""'"""
Matthew 13:31	"They set another parable before them, saying, ""The reign of the heavens is like a grain of mustard seed, which a person took, and sowed in their field;"
Matthew 13:32	"which indeed is smaller than all seeds. But when it is grown, it is greater than the herbs, and becomes a tree, so that the birds of the air come and lodge in its branches."""
Matthew 13:33	"He spoke another parable to them. ""The reign of the heavens is like yeast, which a woman took, and hid in three measures of meal, until it was all leavened."""
Matthew 13:34	Yeshua spoke all these things in parables to the multitudes; and without a parable, he didn't speak to them,
Matthew 13:35	"that it might be fulfilled which was spoken through the prophet, saying, ""I will open my mouth in parables; I will utter things hidden from the foundation of the world."""
Matthew 13:36	"Then Yeshua sent the multitudes away, and went into the house. His disciples came to him, saying, ""Explain to us the parable of the darnel weeds of the field."""
Matthew 13:37	"He answered them, ""The one who sows the good seed is the Human One,"
Matthew 13:38	the field is the world; and the good seed, these are the children of the reign; and the darnel weeds are the children of the unripe one.
Matthew 13:39	The enemy who sowed them is the Slanderer. The harvest is the end of the age, and the reapers are angels.
Matthew 13:40	As therefore the darnel weeds are gathered up and burned with fire; so will it be at the end of this age.
Matthew 13:41	The Human One will send out his angels, and they will gather out of his reign all things that cause stumbling, and those who do iniquity,
Matthew 13:42	and will cast them into the furnace of fire. There will be weeping and the gnashing of teeth.
Matthew 13:43	Then the righteous will shine forth like the sun in the reign of their Cosmic Parent. The one who has ears to hear, let them hear.
Matthew 13:44	"""Again, the reign of the heavens is like a treasure hidden in the field, which a person found, and hid. In their joy, they go and sell all that they have, and buy that field."
Matthew 13:45	"""Again, the reign of the heavens is like a person who is a merchant seeking fine pearls,"
Matthew 13:46	who, having found one pearl of great price, went and sold all that they had, and bought it.
Matthew 13:47	"""Again, the reign of the heavens is like a dragnet, that was cast into the sea, and gathered some fish of every kind,"
Matthew 13:48	which, when it was filled, they drew up on the beach. They sat down, and gathered the good into containers, but the bad they threw away.
Matthew 13:49	So will it be in the end of the world. The angels will come forth, and separate the wicked from among the righteous,
Matthew 13:50	"and will cast them into the furnace of fire. There will be the weeping and the gnashing of teeth."""
Matthew 13:51	"Yeshua said to them, ""Have you understood all these things?"" They answered him, ""Yes, Master."""
Matthew 13:52	"He said to them, ""Therefore, every scribe who has been made a disciple in the reign of the heavens is like a person who is a householder, who brings out of their treasure new and old things."""
Matthew 13:53	It happened that when Yeshua had finished these parables, he departed from there.
Matthew 13:54	"Coming into his own country, he taught them in their synagogue, so that they were astonished, and said, ""Where did this man get this wisdom, and these mighty works?"
Matthew 13:55	Isn't this the carpenter's son? Isn't his mother called Maryam, and his brothers, Ya'akov, Joses, Shimon, and Yehuda?
Matthew 13:56	"Aren't all of his sisters with us? Where then did this man get all of these things?"""
Matthew 13:57	"They were offended by him. But Yeshua said to them, ""A prophet is not without honor, except in his own country, and in his own house."""
Matthew 13:58	He didn't do many mighty works there because of their unbelief.
Matthew 14:1	At that time, Herodes the tetrarch heard the report concerning Yeshua,
Matthew 14:2	"and said to his servants, ""This is Yochanan the Baptizer. He is risen from the dead. That is why these powers work in him."""
Matthew 14:3	For Herodes had laid hold of Yochanan, and bound him, and put him in prison for the sake of Herodias, his brother Pilipos's wife.
Matthew 14:4	"For Yochanan said to him, ""It is not lawful for you to have her."""
Matthew 14:5	When he would have put him to death, he feared the multitude, because they counted him as a prophet.
Matthew 14:6	But when Herodes's birthday came, the daughter of Herodias danced among them and pleased Herodes.
Matthew 14:7	Whereupon he promised with an oath to give her whatever she should ask.
Matthew 14:8	"She, being prompted by her mother, said, ""Give me here on a platter the head of Yochanan the Baptizer."""
Matthew 14:9	The king was grieved, but for the sake of his oaths, and of those who sat at the table with him, he commanded it to be given,
Matthew 14:10	and he sent and beheaded Yochanan in the prison.
Matthew 14:11	His head was brought on a platter, and given to the young lady: and she brought it to her mother.
Matthew 14:12	His disciples came, and took the body, and buried it; and they went and told Yeshua.
Matthew 14:13	Now when Yeshua heard this, he withdrew from there in a boat, to a deserted place apart. When the multitudes heard it, they followed him on foot from the cities.
Matthew 14:14	Yeshua went out, and he saw a great multitude. He had compassion on them, and healed their sick.
Matthew 14:15	"When evening had come, his disciples came to him, saying, ""This place is deserted, and the hour is already late. Send the multitudes away, that they may go into the villages, and buy themselves food."""
Matthew 14:16	"But Yeshua said to them, ""They don't need to go away. You give them something to eat."""
Matthew 14:17	"They told him, ""We only have here five loaves and two fish."""
Matthew 14:18	"He said, ""Bring them here to me."""
Matthew 14:19	He commanded the multitudes to sit down on the grass; and he took the five loaves and the two fish, and looking up to heaven, he blessed, broke and gave the loaves to the disciples, and the disciples gave to the multitudes.
Matthew 14:20	They all ate, and were filled. They took up twelve baskets full of that which remained left over from the broken pieces.
Matthew 14:21	Those who ate were about five thousand men, besides women and children.
Matthew 14:22	Immediately Yeshua made the disciples get into the boat, and to go ahead of him to the other side, while he sent the multitudes away.
Matthew 14:23	After he had sent the multitudes away, he went up into the mountain by himself to pray. When evening had come, he was there alone.
Matthew 14:24	But the boat was now in the middle of the sea, distressed by the waves, for the wind was contrary.
Matthew 14:25	In the fourth watch of the night, Yeshua came to them, walking on the sea.
Matthew 14:26	"When the disciples saw him walking on the sea, they were troubled, saying, ""It's a ghost!"" and they cried out for fear."
Matthew 14:27	"But immediately Yeshua spoke to them, saying ""Cheer up! It is I! Don't be afraid."""
Matthew 14:28	"Shimon (called Kepha) answered him and said, ""Master, if it is you, command me to come to you on the waters."""
Matthew 14:29	"He said, ""Come!"" Shimon (called Kepha) stepped down from the boat, and walked on the waters to come to Yeshua."
Matthew 14:30	"But when he saw that the wind was strong, he was afraid, and beginning to sink, he cried out, saying, ""Master, save me!"""
Matthew 14:31	"Immediately Yeshua stretched out his hand, took hold of him, and said to him, ""You of little faith, why did you doubt?"""
Matthew 14:32	When they got up into the boat, the wind ceased.
Matthew 14:33	"Those who were in the boat came and worshiped him, saying, ""You are truly the Son of Elohim!"""
Matthew 14:34	When they had crossed over, they came to the land of Gennesaret.
Matthew 14:35	When the people of that place recognized him, they sent into all that surrounding region, and brought to him all who were sick,
Matthew 14:36	and they begged him that they might just touch the fringe of his garment. As many as touched it were made whole.
Matthew 15:1	Then Pharisees and scribes came to Yeshua from Yerushalayim, saying,
Matthew 15:2	"""Why do your disciples disobey the tradition of the elders? For they don't wash their hands when they eat bread."""
Matthew 15:3	"He answered them, ""Why do you also disobey the commandment of Elohim because of your tradition?"
Matthew 15:4	For Elohim commanded, 'Honor your father and your mother,' and, 'The one who speaks harmfully of father or mother, let them be put to death.'
Matthew 15:5	"But you say, 'Whoever may tell their father or their mother, ""Whatever help you might otherwise have gotten from me is a gift devoted to Elohim,"""
Matthew 15:6	they shall not honor their father or mother.' You have made the commandment of Elohim void because of your tradition.
Matthew 15:7	You hypocrites! Well did Yeshayahu prophesy of you, saying,
Matthew 15:8	'These people draw near to me with their mouth, and honor me with their lips; but their heart is far from me.
Matthew 15:9	"And in vain do they worship me, teaching as doctrine rules made by people.'"""
Matthew 15:10	"He summoned the multitude, and said to them, ""Hear, and understand."
Matthew 15:11	"That which enters into the mouth doesn't defile the person; but that which proceeds out of the mouth, this defiles the person."""
Matthew 15:12	"Then the disciples came, and said to him, ""Do you know that the Pharisees were offended, when they heard this saying?"""
Matthew 15:13	"But he answered, ""Every plant which my heavenly Cosmic Parent didn't plant will be uprooted."
Matthew 15:14	"Leave them alone. They are blind guides of the blind. If the blind guide the blind, both will fall into a pit."""
Matthew 15:15	"Shimon (called Kepha) answered him, ""Explain the parable to us."""
Matthew 15:16	"So Yeshua said, ""Do you also still not understand?"
Matthew 15:17	Don't you understand that whatever goes into the mouth passes into the belly, and then out of the body?
Matthew 15:18	But the things which proceed out of the mouth come out of the heart, and they defile the person.
Matthew 15:19	For out of the heart come forth unripe thoughts, murders, adulteries, sexual sins, thefts, false testimony, and blasphemies.
Matthew 15:20	"These are the things which defile the person; but to eat with unwashed hands doesn't defile the person."""
Matthew 15:21	Yeshua went out from there, and withdrew into the region of Tzor and Tzidon.
Matthew 15:22	"Behold, a Canaanite woman came out from those borders, and cried, saying, ""Have mercy on me, Master, you son of Dawid! My daughter is severely demonized!"""
Matthew 15:23	"But he answered her not a word. His disciples came and begged him, saying, ""Send her away; for she cries after us."""
Matthew 15:24	"But he answered, ""I wasn't sent to anyone but the lost sheep of the house of Israel."""
Matthew 15:25	"But she came and worshiped him, saying, ""Master, help me."""
Matthew 15:26	"But he answered, ""It is not appropriate to take the children's bread and throw it to the dogs."""
Matthew 15:27	"But she said, ""Yes, Master, but even the dogs eat the crumbs which fall from their masters' table."""
Matthew 15:28	"Then Yeshua answered her, ""Woman, great is your faith! Be it done to you even as you desire."" And her daughter was healed from that hour."
Matthew 15:29	Yeshua departed there, and came near to the sea of Galil; and he went up into the mountain, and sat there.
Matthew 15:30	Great multitudes came to him, having with them the lame, blind, mute, maimed, and many others, and they put them down at his feet. He healed them,
Matthew 15:31	so that the multitude wondered when they saw the mute speaking, injured whole, lame walking, and blind seeing--and they glorified the God of Israel.
Matthew 15:32	"Yeshua summoned his disciples and said, ""I have compassion on the multitude, because they continue with me now three days and have nothing to eat. I don't want to send them away fasting, or they might faint on the way."""
Matthew 15:33	"The disciples said to him, ""Where should we get so many loaves in a deserted place as to satisfy so great a multitude?"""
Matthew 15:34	"Yeshua said to them, ""How many loaves do you have?"" They said, ""Seven, and a few small fish."""
Matthew 15:35	He commanded the multitude to sit down on the ground;
Matthew 15:36	and he took the seven loaves and the fish. He gave thanks and broke them, and gave to the disciples, and the disciples to the multitudes.
Matthew 15:37	They all ate, and were filled. They took up seven baskets full of the broken pieces that were left over.
Matthew 15:38	Those who ate were four thousand men, besides women and children.
Matthew 15:39	Then he sent away the multitudes, got into the boat, and came into the borders of Magdala.
Matthew 16:1	The Pharisees and Sadducees came, and testing him, asked him to show them a sign from heaven.
Matthew 16:2	"But he answered them, ""When it is evening, you say, 'It will be fair weather, for the sky is red.'"
Matthew 16:3	In the morning, 'It will be foul weather today, for the sky is red and threatening.' Hypocrites! You know how to discern the appearance of the sky, but you can't discern the signs of the times!
Matthew 16:4	"An unripe and adulterous generation seeks after a sign, and there will be no sign given to it, except the sign of the prophet Yonah."" He left them, and departed."
Matthew 16:5	The disciples came to the other side and had forgotten to take bread.
Matthew 16:6	"Yeshua said to them, ""Take heed and beware of the yeast of the Pharisees and Sadducees."""
Matthew 16:7	"They reasoned among themselves, saying, ""We brought no bread."""
Matthew 16:8	"Yeshua, perceiving it, said, ""Why do you reason among yourselves, you of little faith, 'because you have brought no bread?'"
Matthew 16:9	Don't you yet perceive, neither remember the five loaves for the five thousand, and how many baskets you took up?
Matthew 16:10	Nor the seven loaves for the four thousand, and how many baskets you took up?
Matthew 16:11	"How is it that you don't perceive that I didn't speak to you concerning bread? But beware of the yeast of the Pharisees and Sadducees."""
Matthew 16:12	Then they understood that he didn't tell them to beware of the yeast of bread, but of the teaching of the Pharisees and Sadducees.
Matthew 16:13	"Now when Yeshua came into the parts of Kaisareia Philippi, he asked his disciples, saying, ""Who do people say that I, the Human One, am?"""
Matthew 16:14	"They said, ""Some say Yochanan the Baptizer, some, Eliyahu, and others, Yirmeyahu, or one of the prophets."""
Matthew 16:15	"He said to them, ""But who do you say that I am?"""
Matthew 16:16	"Shimon (called Kepha) answered, ""You are the Messiah, the Son of the living Elohim."""
Matthew 16:17	"Yeshua answered him, ""Blessed are you, Shimon Bar Yonah, for flesh and blood has not revealed this to you, but my Cosmic Parent who is in heaven."
Matthew 16:18	I also tell you that you are Shimon (called Kepha), and on this rock I will build my assembly, and the gates of Hades will not prevail against it.
Matthew 16:19	"I will give to you the keys of the reign of the heavens, and whatever you bind on earth will have been bound in heaven; and whatever you release on earth will have been released in heaven."""
Matthew 16:20	Then he charged the disciples that they should tell no one that he is Yeshua the Messiah.
Matthew 16:21	From that time, Yeshua began to show his disciples that he must go to Yerushalayim and suffer many things from the elders, chief priests, and scribes, and be killed, and the third day be raised up.
Matthew 16:22	"Shimon (called Kepha) took him aside, and began to rebuke him, saying, ""Far be it from you, Master! This will never be done to you."""
Matthew 16:23	"But he turned, and said to Shimon (called Kepha), ""Get behind me, the Adversary! You are a stumbling block to me, for you are not setting your mind on the things of Elohim, but on the things of people."""
Matthew 16:24	"Then Yeshua said to his disciples, ""If anyone desires to come after me, let them deny themselves, and take up their cross, and follow me."
Matthew 16:25	For whoever desires to save their life will lose it, and whoever will lose their life for my sake will find it.
Matthew 16:26	For what will it profit a person, if they gain the whole world, and forfeit their life? Or what will a person give in exchange for their life?
Matthew 16:27	For the Human One will come in the glory of his Cosmic Parent with his angels, and then he will render to everyone according to their deeds.
Matthew 16:28	"Most certainly I tell you, there are some standing here who will in no way taste of death, until they see the Human One coming in his reign."""
Matthew 17:1	After six days, Yeshua took with him Shimon (called Kepha), Ya'akov, and Yochanan his brother, and brought them up into a high mountain by themselves.
Matthew 17:2	He was transfigured before them. His face shone like the sun, and his garments became as white as the light.
Matthew 17:3	Behold, Moshe and Eliyahu appeared to them talking with him.
Matthew 17:4	"Shimon (called Kepha) answered, and said to Yeshua, ""Master, it is good for us to be here. If you want, let's make three tents here: one for you, one for Moshe, and one for Eliyahu."""
Matthew 17:5	"While he was still speaking, behold, a bright cloud overshadowed them. Behold, a voice came out of the cloud, saying, ""This is my beloved Son, in whom I am well pleased. Listen to him."""
Matthew 17:6	When the disciples heard it, they fell on their faces, and were very afraid.
Matthew 17:7	"Yeshua came and touched them and said, ""Get up, and don't be afraid."""
Matthew 17:8	Lifting up their eyes, they saw no one, except Yeshua alone.
Matthew 17:9	"As they were coming down from the mountain, Yeshua commanded them, saying, ""Don't tell anyone what you saw, until the Human One has risen from the dead."""
Matthew 17:10	"His disciples asked him, saying, ""Then why do the scribes say that Eliyahu must come first?"""
Matthew 17:11	"Yeshua answered them, ""Eliyahu indeed comes first, and will restore all things,"
Matthew 17:12	"but I tell you that Eliyahu has come already, and they didn't recognize him, but did to him whatever they wanted to. Even so the Human One will also suffer by them."""
Matthew 17:13	Then the disciples understood that he spoke to them of Yochanan the Baptizer.
Matthew 17:14	When they came to the multitude, a person came to him, kneeling down to him, saying,
Matthew 17:15	"""Master, have mercy on my son, for he is epileptic, and suffers grievously; for he often falls into the fire, and often into the water."
Matthew 17:16	"So I brought him to your disciples, and they could not cure him."""
Matthew 17:17	"Yeshua answered, ""Faithless and perverse generation! How long will I be with you? How long will I bear with you? Bring him here to me."""
Matthew 17:18	Yeshua rebuked him, the demon went out of him, and the boy was cured from that hour.
Matthew 17:19	"Then the disciples came to Yeshua privately, and said, ""Why weren't we able to cast it out?"""
Matthew 17:20	"He said to them, ""Because of your unbelief. For most certainly I tell you, if you have faith as a grain of mustard seed, you will tell this mountain, 'Move from here to there,' and it will move; and nothing will be impossible for you."
Matthew 17:21	"But this kind doesn't go out except by prayer and fasting."""
Matthew 17:22	"While they were staying in Galil, Yeshua said to them, ""The Human One is about to be delivered up into the hands of people,"
Matthew 17:23	"and they will kill him, and the third day he will be raised up."" They were exceedingly sorry."
Matthew 17:24	"When they had come to Kfar Nachum, those who collected the didrachma coins came to Shimon (called Kepha), and said, ""Doesn't your teacher pay the didrachma?"""
Matthew 17:25	"He said, ""Yes."" When he came into the house, Yeshua anticipated him, saying, ""What do you think, Shimon? From whom do the kings of the earth receive toll or tribute? From their children, or from strangers?"""
Matthew 17:26	"Shimon (called Kepha) said to him, ""From strangers."" Yeshua said to him, ""Therefore the children are exempt."
Matthew 17:27	"But, lest we cause them to stumble, go to the sea, cast a hook, and take up the first fish that comes up. When you have opened its mouth, you will find a stater coin. Take that, and give it to them for me and you."""
Matthew 18:1	"In that hour the disciples came to Yeshua, saying, ""Who then is greatest in the reign of the heavens?"""
Matthew 18:2	Yeshua called a little child to himself, and set him in the midst of them,
Matthew 18:3	"and said, ""Most certainly I tell you, unless you turn, and become as little children, you will in no way enter into the reign of the heavens."
Matthew 18:4	Whoever therefore humbles themselves as this little child, the same is the greatest in the reign of the heavens.
Matthew 18:5	Whoever receives one such little child in my name receives me,
Matthew 18:6	but whoever causes one of these little ones who trust in me to stumble, it would be better for them that a huge millstone should be hung around their neck, and that they should be sunk in the depths of the sea.
Matthew 18:7	"""Woe to the world because of occasions of stumbling! For it must be that the occasions come, but woe to that person through whom the occasion comes!"
Matthew 18:8	If your hand or your foot causes you to stumble, cut it off, and cast it from you. It is better for you to enter into life maimed or crippled, rather than having two hands or two feet to be cast into the age-enduring fire.
Matthew 18:9	If your eye causes you to stumble, pluck it out, and cast it from you. It is better for you to enter into life with one eye, rather than having two eyes to be cast into the Gehenna of fire.
Matthew 18:10	See that you don't despise one of these little ones, for I tell you that in heaven their angels always see the face of my Cosmic Parent who is in heaven.
Matthew 18:11	For the Human One came to save that which was lost.
Matthew 18:12	"""What do you think? If someone has one hundred sheep, and one of them goes astray, don't they leave the ninety-nine, go to the mountains, and seek that which has gone astray?"
Matthew 18:13	If they find it, most certainly I tell you, they rejoice over it more than over the ninety-nine which have not gone astray.
Matthew 18:14	Even so it is not the will of your Cosmic Parent who is in heaven that one of these little ones should perish.
Matthew 18:15	"""If your brother or sister sins against you, go and show them their fault between you and them alone. If they listen to you, you have gained back your brother or sister."
Matthew 18:16	But if they don't listen, take one or two more with you, that at the mouth of two or three witnesses every word may be established.
Matthew 18:17	If they refuse to listen to them, tell it to the assembly. If they refuse to hear the assembly also, let them be to you as a Gentile or a tax collector.
Matthew 18:18	Most certainly I tell you, whatever things you bind on earth will have been bound in heaven, and whatever things you release on earth will have been released in heaven.
Matthew 18:19	Again, assuredly I tell you, that if two of you will agree on earth concerning anything that they will ask, it will be done for them by my Cosmic Parent who is in heaven.
Matthew 18:20	"For where two or three are gathered together in my name, there I am in the midst of them."""
Matthew 18:21	"Then Shimon (called Kepha) came and said to him, ""Master, how often shall my brother or sister sin against me, and I forgive them? Until seven times?"""
Matthew 18:22	"Yeshua said to him, ""I don't tell you until seven times, but, until seventy times seven."
Matthew 18:23	Therefore the reign of the heavens is like a certain king, who wanted to reconcile accounts with his servants.
Matthew 18:24	When they had begun to reconcile, one was brought to the one who owed him ten thousand talents.
Matthew 18:25	But because he couldn't pay, his master commanded him to be sold, with his wife, his children, and all that he had, and payment to be made.
Matthew 18:26	The servant therefore fell down and kneeled before him, saying, 'Master, have patience with me, and I will repay you all!'
Matthew 18:27	The master of that servant, being moved with compassion, released him, and forgave him the debt.
Matthew 18:28	"""But that servant went out, and found one of his fellow servants, who owed him one hundred denarii, and he grabbed him, and took him by the throat, saying, 'Pay me what you owe!'"
Matthew 18:29	"""So his fellow servant fell down at his feet and begged him, saying, 'Have patience with me, and I will repay you!'"
Matthew 18:30	He would not, but went and cast him into prison, until he should pay back that which was due.
Matthew 18:31	So when his fellow servants saw what was done, they were exceedingly sorry, and came and told to their master all that was done.
Matthew 18:32	Then his master called him in, and said to him, 'You wicked servant! I forgave you all that debt, because you begged me.
Matthew 18:33	Shouldn't you also have had mercy on your fellow servant, even as I had mercy on you?'
Matthew 18:34	His master was angry, and delivered him to the tormentors, until he should pay all that was due to him.
Matthew 18:35	"So my heavenly Cosmic Parent will also do to you, if you don't each forgive your brother or sister from your hearts for their misdeeds."""
Matthew 19:1	It happened when Yeshua had finished these words, he departed from Galil, and came into the borders of Yehudah beyond the Yarden.
Matthew 19:2	Great multitudes followed him, and he healed them there.
Matthew 19:3	"Pharisees came to him, testing him, and saying, ""Is it lawful for a man to divorce his wife for any reason?"""
Matthew 19:4	"He answered, ""Haven't you read that the one who made them from the beginning made them male and female,"
Matthew 19:5	and said, 'For this cause a person shall leave their father and mother, and shall be joined to their spouse; and the two shall become one flesh?'
Matthew 19:6	"So that they are no more two, but one flesh. What therefore Elohim has joined together, don't let anyone tear apart."""
Matthew 19:7	"They asked him, ""Why then did Moshe command us to give her a bill of divorce, and divorce her?"""
Matthew 19:8	"He said to them, ""Moshe, because of the hardness of your hearts, allowed you to divorce your wives, but from the beginning it has not been so."
Matthew 19:9	"I tell you that whoever divorces his wife, except for sexual immorality, and marries another, commits adultery; and the one who marries her when she is divorced commits adultery."""
Matthew 19:10	"His disciples said to him, ""If this is the case of the man with his wife, it is not expedient to marry."""
Matthew 19:11	"But he said to them, ""Not all people can receive this saying, but those to whom it is given."
Matthew 19:12	"For there are eunuchs who were born that way from their mother's womb, and there are eunuchs who were made eunuchs by men; and there are eunuchs who made themselves eunuchs for the reign of the heavens's sake. The one who is able to receive it, let them receive it."""
Matthew 19:13	Then little children were brought to him, that he should lay his hands on them and pray; and the disciples rebuked them.
Matthew 19:14	"But Yeshua said, ""Allow the little children, and don't forbid them to come to me; for the reign of the heavens belongs to ones like these."""
Matthew 19:15	He laid his hands on them, and departed from there.
Matthew 19:16	"Behold, one came to him and said, ""Good teacher, what good thing shall I do, that I may have life of the age?"""
Matthew 19:17	"He said to him, ""Why do you call me good? No one is good but one, that is, Elohim. But if you want to enter into life, keep the commandments."""
Matthew 19:18	"He said to him, ""Which ones?"" Yeshua said, ""'You shall not murder.' 'You shall not commit adultery.' 'You shall not steal.' 'You shall not offer false testimony.'"
Matthew 19:19	"'Honor your father and mother.' And, 'You shall love your neighbor as yourself.'"""
Matthew 19:20	"The young person said to him, ""All these things I have observed from my youth. What do I still lack?"""
Matthew 19:21	"Yeshua said to him, ""If you want to be perfect, go, sell what you have, and give to the poor, and you will have treasure in heaven; and come, follow me."""
Matthew 19:22	But when the young person heard the saying, they went away sad, for they were one who had great possessions.
Matthew 19:23	"Yeshua said to his disciples, ""Most certainly I say to you, a rich person will enter into the reign of the heavens with difficulty."
Matthew 19:24	Again I tell you, it is easier for a rope to pass through a needle's eye than for a rich one to enter the reign of Elohim.
Matthew 19:25	"When the disciples heard it, they were exceedingly astonished, saying, ""Who then can be saved?"""
Matthew 19:26	"Looking at them, Yeshua said, ""With people this is impossible, but with Elohim all things are possible."""
Matthew 19:27	"Then Shimon (called Kepha) answered, ""Behold, we have left everything, and followed you. What then will we have?"""
Matthew 19:28	"Yeshua said to them, ""Most certainly I tell you that you who have followed me, in the regeneration when the Human One will sit on the throne of his glory, you also will sit on twelve thrones, judging the twelve tribes of Israel."
Matthew 19:29	Everyone who has left houses, or brothers, or sisters, or father, or mother, or wife, or children, or lands, for my name's sake, will receive one hundred times, and will inherit life of the age.
Matthew 19:30	But many will be last who are first; and first who are last.
Matthew 20:1	"""For the reign of the heavens is like a person who was the master of a household, who went out early in the morning to hire laborers for their vineyard."
Matthew 20:2	When he had agreed with the laborers for a denarius a day, he sent them into his vineyard.
Matthew 20:3	He went out about the third hour, and saw others standing idle in the marketplace.
Matthew 20:4	To them he said, 'You also go into the vineyard, and whatever is right I will give you.' So they went their way.
Matthew 20:5	Again he went out about the sixth and the ninth hour, and did likewise.
Matthew 20:6	About the eleventh hour he went out, and found others standing idle. He said to them, 'Why do you stand here all day idle?'
Matthew 20:7	"""They said to him, 'Because no one has hired us.' ""He said to them, 'You also go into the vineyard, and you will receive whatever is right.'"
Matthew 20:8	When evening had come, the master of the vineyard said to his manager, 'Call the laborers and pay them their wages, beginning from the last to the first.'
Matthew 20:9	"""When those who were hired at about the eleventh hour came, they each received a denarius."
Matthew 20:10	When the first came, they supposed that they would receive more; and they likewise each received a denarius.
Matthew 20:11	When they received it, they murmured against the master of the household,
Matthew 20:12	saying, 'These last have spent one hour, and you have made them equal to us, who have borne the burden of the day and the scorching heat!'
Matthew 20:13	"""But he answered one of them, 'Friend, I am doing you no wrong. Didn't you agree with me for a denarius?"
Matthew 20:14	Take that which is yours, and go your way. It is my desire to give to this last just as much as to you.
Matthew 20:15	Isn't it lawful for me to do what I want to with what I own? Or is your eye unripeness, because I am good?'
Matthew 20:16	"So the last will be first, and the first last. For many are called, but few are chosen."""
Matthew 20:17	As Yeshua was going up to Yerushalayim, he took the twelve disciples aside, and on the way he said to them,
Matthew 20:18	"""Behold, we are going up to Yerushalayim, and the Human One will be delivered to the chief priests and scribes, and they will condemn him to death,"
Matthew 20:19	"and will hand him over to the Gentiles to mock, to scourge, and to crucify; and the third day he will be raised up."""
Matthew 20:20	Then the mother of the sons of Zebedee came to him with her sons, kneeling and asking a certain thing of him.
Matthew 20:21	"He said to her, ""What do you want?"" She said to him, ""Command that these, my two sons, may sit, one on your right hand, and one on your left hand, in your reign."""
Matthew 20:22	"But Yeshua answered, ""You don't know what you are asking. Are you able to drink the cup that I am about to drink, and be immersed with the immersion that I am immersed with?"" They said to him, ""We are able."""
Matthew 20:23	"He said to them, ""You will indeed drink my cup, and be immersed with the immersion that I am immersed with, but to sit on my right hand and on my left hand is not mine to give; but it is for whom it has been prepared by my Cosmic Parent."""
Matthew 20:24	When the ten heard it, they were indignant with the two brothers.
Matthew 20:25	"But Yeshua summoned them, and said, ""You know that the rulers of the nations dominate them, and their great ones exercise authority over them."
Matthew 20:26	It shall not be so among you, but whoever desires to become great among you shall be your servant.
Matthew 20:27	Whoever desires to be first among you shall be your bondservant,
Matthew 20:28	"even as the Human One came not to be served, but to serve, and to give his life as a ransom for many."""
Matthew 20:29	As they went out from Yericho, a great multitude followed him.
Matthew 20:30	"Behold, two blind men sitting by the road, when they heard that Yeshua was passing by, cried out, ""Master, have mercy on us, you son of Dawid!"""
Matthew 20:31	"The multitude rebuked them, telling them that they should be quiet, but they cried out even more, ""Master, have mercy on us, you son of Dawid!"""
Matthew 20:32	"Yeshua stood still, and called them, and asked, ""What do you want me to do for you?"""
Matthew 20:33	"They told him, ""Master, that our eyes may be opened."""
